,Classes,Old Price,Price Change,New Price,date_range
2906,Toyota Belta A/T / Smart 2022,"275,000 EGP","trending_up +15,000 EGP","290,000 EGP",2/22/2022
2907,Toyota Belta A/T / Active 2022,"235,000 EGP","trending_up +15,000 EGP","250,000 EGP",2/22/2022
2908,Audi A4 A/T / Smart 2022,"890,000 EGP","trending_down -60,000 EGP","830,000 EGP",2/22/2022
2909,Audi Q8 A/T / S Line Plus 2022,"2,175,000 EGP","trending_up +105,000 EGP","2,280,000 EGP",2/22/2022
2910,Audi Q8 A/T / S Line 2022,"2,020,000 EGP","trending_up +100,000 EGP","2,120,000 EGP",2/22/2022
2911,Audi Q3 A/T / Sport back 2022,"990,000 EGP","trending_up +35,000 EGP","1,025,000 EGP",2/22/2022
2912,Audi Q3 A/T / SB W New-Rim 2022,"830,000 EGP","trending_up +25,000 EGP","855,000 EGP",2/22/2022
2913,Audi Q3 A/T / S-Line 2022,"799,000 EGP","trending_up +16,000 EGP","815,000 EGP",2/22/2022
2914,Audi Q3 A/T / Advanced 2022,"710,000 EGP","trending_up +15,000 EGP","725,000 EGP",2/22/2022
2915,Audi Q2 A/T / S Line 2022,"645,000 EGP","trending_up +10,000 EGP","655,000 EGP",2/22/2022
2916,Audi A6 A/T / S Line 2022,"1,350,000 EGP","trending_up +10,000 EGP","1,360,000 EGP",2/22/2022
2917,Audi A5 A/T / S-Line 2022,"999,000 EGP","trending_up +26,000 EGP","1,025,000 EGP",2/22/2022
2918,Audi A4 A/T / S Line Plus 2022,"930,000 EGP","trending_up +20,000 EGP","950,000 EGP",2/22/2022
2919,Audi A3 A/T / S-Line 2022,"650,000 EGP","trending_up +30,000 EGP","680,000 EGP",2/22/2022
2920,Audi A3 A/T / Advanced 2022,"585,000 EGP","trending_up +25,000 EGP","610,000 EGP",2/22/2022
2921,Citroën C5 Aircross A/T / SHINE 2022,"569,900 EGP","trending_up +5,000 EGP","574,900 EGP",2/21/2022
2922,Citroën C5 Aircross A/T / FEEL 2022,"519,900 EGP","trending_up +5,000 EGP","524,900 EGP",2/21/2022
2923,Citroën C5 Aircross A/T / Live 2022,"449,900 EGP","trending_up +5,000 EGP","454,900 EGP",2/21/2022
2924,Citroën C4 A/T / Red interior 2022,"464,900 EGP","trending_up +5,000 EGP","469,900 EGP",2/21/2022
2925,Citroën C4 A/T / Shine 2022,"459,900 EGP","trending_up +5,000 EGP","464,900 EGP",2/21/2022
2926,Citroën C4 A/T / Blue interior 2022,"414,900 EGP","trending_up +5,000 EGP","419,900 EGP",2/21/2022
2927,Citroën C4 A/T / Fell 2022,"409,900 EGP","trending_up +5,000 EGP","414,900 EGP",2/21/2022
2928,Kia Xceed A/T / Top Line 2022,"409,900 EGP","trending_up +5,000 EGP","414,900 EGP",2/17/2022
2929,Kia Xceed A/T / Highline 2022,"375,000 EGP","trending_up +4,900 EGP","379,900 EGP",2/17/2022
2930,Peugeot 2008 A/T / GT LINE 2022,"438,000 EGP","trending_up +1,990 EGP","439,990 EGP",2/7/2022
2931,Peugeot 2008 A/T / ALLURE 2022,"400,000 EGP","trending_up +2,990 EGP","402,990 EGP",2/7/2022
2932,Peugeot 2008 A/T / ACTIVE 2022,"363,000 EGP","trending_up +9,990 EGP","372,990 EGP",2/7/2022
2933,Peugeot 508 A/T / GT MAX Red Interior 2022,"700,000 EGP","trending_up +4,990 EGP","704,990 EGP",2/7/2022
2934,Peugeot 508 A/T / GT MAX 2022,"695,000 EGP","trending_up +4,990 EGP","699,990 EGP",2/7/2022
2935,Peugeot 508 A/T / GT Line Red Interior 2022,"617,000 EGP","trending_up +3,990 EGP","620,990 EGP",2/7/2022
2936,Peugeot 508 A/T / GT Line 2022,"611,000 EGP","trending_up +3,990 EGP","614,990 EGP",2/7/2022
2937,Peugeot 508 A/T / Allure Pack 2022,"554,990 EGP","trending_up +4,000 EGP","558,990 EGP",2/7/2022
2938,Peugeot 508 A/T / Active Pack 2022,"495,990 EGP","trending_up +4,000 EGP","499,990 EGP",2/7/2022
2939,Peugeot 301 A/T / Allure 2022,"275,000 EGP","trending_up +2,990 EGP","277,990 EGP",2/7/2022
2940,Peugeot 301 A/T / Active 2022,"246,000 EGP","trending_up +2,990 EGP","248,990 EGP",2/7/2022
2941,Renault Kadjar A/T / INTENSE 2022,"449,000 EGP","trending_up +9,000 EGP","458,000 EGP",2/3/2022
2942,Renault Kadjar A/T / Signature 2022,"459,000 EGP","trending_up +9,000 EGP","468,000 EGP",2/3/2022
2943,Renault Megane A/T / Signature + Turbo 2022,"444,000 EGP","trending_up +10,000 EGP","454,000 EGP",2/3/2022
2944,Renault Megane A/T / Signature Turbo 2022,"399,000 EGP","trending_up +15,000 EGP","414,000 EGP",2/3/2022
2945,Renault Megane A/T / Dynamic Turbo 2022,"369,000 EGP","trending_up +15,000 EGP","384,000 EGP",2/3/2022
2946,Renault Megane A/T / Dynamic 2022,"339,000 EGP","trending_up +15,000 EGP","354,000 EGP",2/3/2022
2947,Renault Megane A/T / Vision 2022,"309,000 EGP","trending_up +15,000 EGP","324,000 EGP",2/3/2022
2948,Renault Duster A/T / H3 2022,"343,000 EGP","trending_up +9,000 EGP","352,000 EGP",2/3/2022
2949,Renault Duster A/T / H1 2022,"298,000 EGP","trending_up +4,000 EGP","302,000 EGP",2/3/2022
2950,Renault Sandero Step Way A/T / SW 2022,"259,000 EGP","trending_up +10,000 EGP","269,000 EGP",2/3/2022
2951,Renault Sandero A/T / B1 2022,"236,000 EGP","trending_up  +13,000 EGP","249,000 EGP",2/3/2022
2952,Renault Logan A/T / E3 / Black Edtion 2022,"246,000 EGP","trending_up +9,000 EGP","255,000 EGP",2/3/2022
2953,Renault Logan A/T / E3 2022,"236,000 EGP","trending_up +9,000 EGP","245,000 EGP",2/3/2022
2954,Renault Logan A/T / E2 2022,"226,000 EGP","trending_up +9,000 EGP","235,000 EGP",2/3/2022
2955,Renault Logan A/T / E1 2022,"216,000 EGP","trending_up +9,000 EGP","225,000 EGP",2/3/2022
2956,Hyundai Elantra CN7 A/T / PREMIUM / WHITE PACK 2022,"510,000 EGP","trending_up +4,900 EGP","514,900 EGP",2/2/2022
2957,Hyundai Elantra CN7 A/T / ADVANCED / WHITE PACK 2022,"450,000 EGP","trending_up +4,900 EGP","454,900 EGP",2/2/2022
2958,Hyundai Elantra CN7 A/T / ADVANCED 2022,"445,000 EGP","trending_up +4,900 EGP","449,900 EGP",2/2/2022
2959,Hyundai Elantra CN7 A/T / MODERN 2022,"408,000 EGP","trending_up +4,900 EGP","412,900 EGP",2/2/2022
2960,Hyundai Elantra CN7 A/T / SMART PLUS 2022,"383,000 EGP","trending_up +4,900 EGP","387,900 EGP",2/2/2022
2961,Hyundai Elantra CN7 A/T / SMART FUN 2022,"357,000 EGP","trending_up +4,900 EGP","361,900 EGP",2/2/2022
2962,Hyundai Elantra CN7 A/T / SMART SAFETY 2022,"345,000 EGP","trending_up +4,900 EGP","349,900 EGP",2/2/2022
2963,Hyundai Elantra CN7 A/T / SMART 2022,"335,000 EGP","trending_up +4,900 EGP","339,900 EGP",2/2/2022
2964,Haval H6 A/T / High Deluxe 2022,"470,000 EGP","trending_up +10,000 EGP","480,000 EGP",2/1/2022
2965,Haval H6 A/T / Deluxe SR 2022,"435,000 EGP","trending_up +10,000 EGP","445,000 EGP",2/1/2022
2966,Haval H6 A/T / Deluxe 2022,"415,000 EGP","trending_up +10,000 EGP","425,000 EGP",2/1/2022
2967,Haval H6 A/T / Standard 2022,"385,000 EGP","trending_up +10,000 EGP","395,000 EGP",2/1/2022
2968,Haval Jolion A/T / High Deluxe 2022,"389,900 EGP","trending_up +9,100 EGP","399,000 EGP",2/1/2022
2969,Haval Jolion A/T / Deluxe SR 2022,"369,900 EGP","trending_up +5,100 EGP","375,000 EGP",2/1/2022
2970,Haval Jolion A/T / Deluxe 2022,"344,900 EGP","trending_up +5,100 EGP","350,000 EGP",2/1/2022
2971,Haval Jolion A/T / Standard 2022,"319,900 EGP","trending_up +3,100 EGP","323,000 EGP",2/1/2022
2972,Soueast DX3 A/T / Highline 2022,"305,000 EGP","trending_up +2,000 EGP","307,000 EGP",1/17/2022
2973,Citroën C Elysee A/T / Luxury 2022,"271,900 EGP","trending_up +1,000 EGP","272,900 EGP",1/13/2022
2974,Seat Tarraco A/T / FR 2022,"695,000 EGP","trending_up +15,000 EGP","710,000 EGP",1/12/2022
2975,Seat Tarraco A/T / XCELLENCE 2022,"670,000 EGP","trending_up +15,000 EGP","685,000 EGP",1/12/2022
2976,Seat Ateca A/T / FR 2022,"590,000 EGP","trending_up +10,000 EGP","600,000 EGP",1/12/2022
2977,Seat Ateca A/T / Experience 2022,"580,000 EGP","trending_up +10,000 EGP","590,000 EGP",1/12/2022
2978,Seat Ateca A/T / Style Plus 2022,"515,000 EGP","trending_up +10,000 EGP","525,000 EGP",1/12/2022
2979,Seat Leon A/T / FR 2022,"435,000 EGP","trending_up +15,000 EGP","450,000 EGP",1/12/2022
2980,Seat Leon A/T / ADVANCED 2022,"395,000 EGP","trending_up +15,000 EGP","410,000 EGP",1/12/2022
2981,Volkswagen Tiguan A/T / R-Line 2022,"660,000 EGP","trending_up +15,000 EGP","675,000 EGP",1/10/2022
2982,Volkswagen Tiguan A/T / Elegance 2022,"585,000 EGP","trending_up +10,000 EGP","595,000 EGP",1/10/2022
2983,Volkswagen Passat A/T / R-Line 2022,"630,000 EGP","trending_up +10,000 EGP","640,000 EGP",1/10/2022
2984,Volkswagen Passat A/T / Comfortline 2022,"610,000 EGP","trending_up +15,000 EGP","625,000 EGP",1/10/2022
2985,Volkswagen Passat Automtic / Trendline plus 2022,"505,000 EGP","trending_up +20,000 EGP","525,000 EGP",1/10/2022
2986,Toyota Corolla A/T / High Line / Hybrid 2022,"616,000 EGP","trending_up +31,000 EGP","647,000 EGP",1/9/2022
2987,Toyota Corolla Automatic / SMART / Sun Roof 2022,"417,000 EGP","trending_up +3,000 EGP","420,000 EGP",1/9/2022
2988,Toyota Corolla Automtic / SMART 2022,"397,000 EGP","trending_up +2,000 EGP","399,000 EGP",1/9/2022
2989,Toyota Corolla Automatic / Comfort 2022,"372,000 EGP","trending_up +8,000 EGP","380,000 EGP",1/9/2022
2990,Toyota Corolla Automatic / Active 2022,"337,000 EGP","trending_up +8,000 EGP","345,000 EGP",1/9/2022
2991,Toyota Corolla Manual‏ / Active 2022,"307,000 EGP","trending_up +5,000 EGP","312,000 EGP",1/9/2022
2992,Baic X7 A/T / Premium 2022,"568,000 EGP","trending_up +10,000 EGP","578,000 EGP",1/4/2022
2993,Jac JS4 A/T / Utlimate 2022,"327,000 EGP","trending_up +2,900 EGP","329,900 EGP",1/3/2022
2994,Jac JS4 A/T / Deluxe 2022,"297,000 EGP","trending_up +2,900 EGP","299,900 EGP",1/3/2022
2995,Jac J7 A/T / Ultimate 2022,"335,900 EGP","trending_up +1,100 EGP","337,000 EGP",1/3/2022
2996,Jac J7 A/T / Deluxe 2022,"302,900 EGP","trending_up +4,100 EGP","307,000 EGP",1/3/2022
2997,Jac JS3 A/T / Smart 2022,"256,900 EGP","trending_up +3,000 EGP","259,900 EGP",1/3/2022
2998,Jac JS3 A/T / Smart 2022,"259,900 EGP","trending_down -3,000 EGP","256,900 EGP",1/3/2022
2999,Jac JS3 A/T / Smart 2022,"256,900 EGP","trending_up +3,000 EGP","259,900 EGP",1/3/2022
3000,Hyundai Elantra CN7 A/T / PREMIUM / WHITE PACK 2022,"508,000 EGP","trending_up +2,000 EGP","510,000 EGP",1/2/2022
3001,Hyundai Elantra CN7 A/T / PREMIUM 2022,"503,000 EGP","trending_up +2,000 EGP","505,000 EGP",1/2/2022
3002,Hyundai Elantra CN7 A/T / ADVANCED / WHITE PACK 2022,"448,000 EGP","trending_up +2,000 EGP","450,000 EGP",1/2/2022
3003,Hyundai Elantra CN7 A/T / ADVANCED 2022,"443,000 EGP","trending_up +2,000 EGP","445,000 EGP",1/2/2022
3004,Hyundai Elantra CN7 A/T / MODERN 2022,"406,000 EGP","trending_up +2,000 EGP","408,000 EGP",1/2/2022
3005,Hyundai Elantra CN7 A/T / SMART PLUS 2022,"381,000 EGP","trending_up +2,000 EGP","383,000 EGP",1/2/2022
3006,Hyundai Elantra CN7 A/T / SMART FUN 2022,"355,000 EGP","trending_up +2,000 EGP","357,000 EGP",1/2/2022
3007,Hyundai Elantra CN7 A/T / SMART SAFETY 2022,"343,000 EGP","trending_up +2,000 EGP","345,000 EGP",1/2/2022
3008,Hyundai Elantra CN7 A/T / SMART 2022,"333,000 EGP","trending_up +2,000 EGP","335,000 EGP",1/2/2022
3009,Nissan Sunny A/T / Super Saloon 2022,"240,500 EGP","trending_up +2,500 EGP","243,000 EGP",1/2/2022
3010,Nissan Sunny A/T / Midline 2022,"229,500 EGP","trending_up +2,500 EGP","232,000 EGP",1/2/2022
3011,Nissan Sunny Automatic / Baseline 2022,"216,000 EGP","trending_up +2,500 EGP","218,500 EGP",1/2/2022
3012,Nissan Sunny Manual‏ / Baseline 2022,"194,900 EGP","trending_up +2,500 EGP","197,400 EGP",1/2/2022
3013,Skoda Superb A/T / SPORT LINE 2022,"645,000 EGP","trending_up +10,000 EGP","655,000 EGP",1/2/2022
3014,Skoda Superb A/T / Dynamic 2022,"520,000 EGP","trending_up +10,000 EGP","530,000 EGP",1/2/2022
3015,Skoda Superb A/T / Ambition 2022,"585,000 EGP","trending_up +10,000 EGP","595,000 EGP",1/2/2022
3016,Skoda Kodiaq A/T / L&K 2022,"800,000 EGP","trending_up +15,000 EGP","815,000 EGP",1/2/2022
3017,Skoda Kodiaq A/T / SPORT LINE 2022,"785,000 EGP","trending_up +15,000 EGP","800,000 EGP",1/2/2022
3018,Skoda Kodiaq A/T / Style 2022,"745,000 EGP","trending_up +15,000  EGP","760,000 EGP",1/2/2022
3019,Skoda Kodiaq A/T / Ambition 2022,"700,000 EGP","trending_up +15,000 EGP","715,000 EGP",1/2/2022
3020,Skoda Kodiaq A/T / Dynamic 2022,"620,000 EGP","trending_up +15,000 EGP","635,000 EGP",1/2/2022
3021,Skoda Octavia A8 A/T / Style Plus 2022,"530,000 EGP","trending_up +15,000 EGP","545,000 EGP",1/2/2022
3022,Skoda Octavia A8 Automtic / RS 2022,"685,000 EGP","trending_up +10,000 EGP","695,000 EGP",1/2/2022
3023,Skoda Octavia A8 A/T / Style 2022,"490,000 EGP","trending_up +15,000 EGP","505,000 EGP",1/2/2022
3024,Skoda Octavia A8 A/T / Ambition 2022,"430,000 EGP","trending_up +15,000 EGP","445,000 EGP",1/2/2022
3025,Skoda Scala A/T / Style 2022,"435,000 EGP","trending_up +5,000 EGP","440,000 EGP",1/2/2022
3026,Skoda Scala A/T / Ambition 2022,"365,000 EGP","trending_up +5,000 EGP","370,000 EGP",1/2/2022
3027,Skoda Kamiq A/T / Style 2022,"455,000 EGP","trending_up +10,000 EGP","465,000 EGP",1/2/2022
3028,Skoda Kamiq A/T / Ambition 2022,"390,000 EGP","trending_up +10,000 EGP","400,000 EGP",1/2/2022
3029,Changan CS 15 A/T / L2 2022,"259,000 EGP","trending_up +2,900 EGP","261,900 EGP",1/2/2022
3030,Changan CS 15 A/T / L1 2022,"239,900 EGP","trending_up +2,100 EGP","242,000 EGP",1/2/2022
3031,Changan Eado A/T / L2 2022,"242,000 EGP","trending_up +2,900 EGP","244,900 EGP",1/2/2022
3032,Changan Eado A/T / L1 2022,"227,000 EGP","trending_up +2,000 EGP","229,000 EGP",1/2/2022
3033,Changan Alsvin A/T / L2 2022,"212,000 EGP","trending_up +2,900 EGP","214,900 EGP",1/2/2022
3034,Changan Alsvin A/T / L1 2022,"197,000 EGP","trending_up +2,000 EGP","199,000 EGP",1/2/2022
3035,Changan Alsvin MT‏ / L1 2022,"177,000 EGP","trending_up +2,000 EGP","179,000 EGP",1/2/2022
3036,Jac J7 A/T / Deluxe 2022,"304,900 EGP","trending_down -2,000 EGP","302,900 EGP",12/31/2021
3037,Soueast DX7 A/T / Top Line 2022,"385,000 EGP","trending_up +25,000 EGP","410,000 EGP",12/27/2021
3038,"Peugeot 5008 A/T / GT Red interior with 10"" touch screen 2022","725,000 EGP","trending_down -1,000 EGP","724,000 EGP",12/26/2021
3039,Chery Tiggo 3 Automtic 2022,"250,000 EGP","trending_up +2,000 EGP","252,000 EGP",12/26/2021
3040,Renault Kadjar A/T / Signature 2022,"449,000 EGP","trending_up +10,000 EGP","459,000 EGP",12/23/2021
3041,Renault Kadjar A/T / INTENSE 2022,"439,000 EGP","trending_up +10,000 EGP","449,000 EGP",12/23/2021
3042,Renault Megane A/T / Signature + Turbo 2022,"434,000 EGP","trending_up +10,000 EGP","444,000 EGP",12/23/2021
3043,Renault Megane A/T / Signature Turbo 2022,"384,000 EGP","trending_up +15,000 EGP","399,000 EGP",12/23/2021
3044,Renault Megane A/T / Dynamic Turbo 2022,"354,000 EGP","trending_up +15,000 EGP","369,000 EGP",12/23/2021
3045,Renault Megane A/T / Dynamic 2022,"324,000 EGP","trending_up +15,000 EGP","339,000 EGP",12/23/2021
3046,Renault Megane A/T / Vision 2022,"294,000 EGP","trending_up +15,000 EGP","309,000 EGP",12/23/2021
3047,Renault Duster A/T / H3 2022,"333,000 EGP","trending_up +10,000 EGP","343,000 EGP",12/23/2021
3048,Renault Duster A/T / H1 2022,"288,000 EGP","trending_up +10,000 EGP","298,000 EGP",12/23/2021
3049,Renault Sandero Step Way A/T / SW 2022,"249,000 EGP","trending_up +10,000  EGP","259,000 EGP",12/23/2021
3050,Renault Sandero A/T / B1 2022,"229,000 EGP","trending_up +7,000 EGP","236,000 EGP",12/23/2021
3051,Renault Logan A/T / E3 / Black Edtion 2022,"239,000 EGP","trending_up +7,000 EGP","246,000 EGP",12/23/2021
3052,Renault Logan A/T / E3 2022,"229,000 EGP","trending_up +7,000 EGP","236,000 EGP",12/23/2021
3053,Renault Logan A/T / E2 2022,"219,000 EGP","trending_up +7,000 EGP","226,000 EGP",12/23/2021
3054,Renault Logan A/T / E1 2022,"209,000 EGP","trending_up +7,000 EGP","216,000 EGP",12/23/2021
3055,Baic X5 Automtic 2022,"328,000 EGP","trending_up +7,000 EGP","335,000 EGP",12/13/2021
3056,Mercedes C 200 A/T / Sport 2022,"1,135,000 EGP","trending_down -20,000 EGP","1,115,000 EGP",12/9/2021
3057,Changan Alsvin A/T / L2 2022,"207,000 EGP","trending_up +5,000 EGP","212,000 EGP",12/8/2021
3058,Changan Alsvin A/T / L1 2022,"192,000  EGP","trending_up +5,000 EGP","197,000 EGP",12/8/2021
3059,Changan Alsvin MT‏ / L1 2022,"172,000 EGP","trending_up +5,000 EGP","177,000 EGP",12/8/2021
3060,Changan CS 15 A/T / L2 2022,"252,000 EGP","trending_up +7,000 EGP","259,000 EGP",12/8/2021
3061,Changan CS 15 A/T / L1 2022,"235,000 EGP","trending_up +4,900 EGP","239,900  EGP",12/8/2021
3062,Changan Eado A/T / L2 2022,"235,000 EGP","trending_up +7,000 EGP","242,000 EGP",12/8/2021
3063,Changan Eado A/T / L1 2022,"220,000 EGP","trending_up +7,000 EGP","227,000 EGP",12/8/2021
3064,Changan CS 55 A/T / L3 2022,"373,000 EGP","trending_up +7,000 EGP","380,000 EGP",12/8/2021
3065,Changan CS 55 A/T / L2 2022,"353,000 EGP","trending_up +7,000 EGP","360,000 EGP",12/8/2021
3066,Changan CS 55 A/T / L1 2022,"328,000 EGP","trending_up +7,000 EGP","335,000 EGP",12/8/2021
3067,Changan CS 55 A/T / L1 2022,"335,000 EGP","trending_down -7,000 EGP","328,000 EGP",12/8/2021
3068,MG HS Automatic / LFC Edition 2022,"432,000 EGP","trending_up +4,990 EGP","436,990 EGP",12/4/2021
3069,MG HS A/T / Luxury Brown Interior 2022,"427,000 EGP","trending_up +4,990 EGP","431,990 EGP",12/4/2021
3070,MG HS A/T / Luxury Black Interior 2022,"422,000 EGP","trending_up +4,990 EGP","426,990 EGP",12/4/2021
3071,MG Rx5 A/T / Luxury 2022,"392,000 EGP","trending_up +4,990 EGP","396,990 EGP",12/4/2021
3072,MG Rx5 A/T / Comfort 2022,"362,000 EGP","trending_up +4,990 EGP","366,990 EGP",12/4/2021
3073,MG ZS Automatic / Luxury 2022,"308,000 EGP","trending_up +2,990 EGP","310,990 EGP",12/4/2021
3074,MG ZS Automatic / Comfort 2022,"290,000 EGP","trending_up +2,990 EGP","292,990 EGP",12/4/2021
3075,MG ZS Automatic / Classic 2022,"275,000 EGP","trending_up +2,990 EGP","277,990 EGP",12/4/2021
3076,MG 6 A/T / LUX / Red Interior) 2022,"345,000 EGP","trending_up +4,990 EGP","349,990 EGP",12/4/2021
3077,MG 6 A/T / LUX / Black interior 2022,"340,000 EGP","trending_up +4,990 EGP","344,990 EGP",12/4/2021
3078,MG 6 A/T / Comfort 2022,"325,000 EGP","trending_up +4,990 EGP","329,990 EGP",12/4/2021
3079,MG 5 A/T / Luxury 2022,"278,000 EGP","trending_up +3,990 EGP","281,990 EGP",12/4/2021
3080,MG 5 A/T / Comfort 2022,"258,000 EGP","trending_up +3,990 EGP","261,990 EGP",12/4/2021
3081,MG 5 A/T / Standard 2022,"238,000 EGP","trending_up +3,990 EGP","241,990 EGP",12/4/2021
3082,Chery Tiggo 7 pro A/T / Luxury 2022,"390,000 EGP","trending_up  +5,000 EGP","395,000 EGP",12/2/2021
3083,Chery Tiggo 7 pro A/T / Comfort 2022,"360,000 EGP","trending_up +5,000 EGP","365,000 EGP",12/2/2021
3084,Chery Arrizo 5 AT / HIGHLINE 2022,"218,900 EGP","trending_up +1,100 EGP","220,000 EGP",12/2/2021
3085,Chery Arrizo 5 AT / BASELINE Leather 2022,"204,900 EGP","trending_up +2,100 EGP","207,000 EGP",12/2/2021
3086,Chery Arrizo 5 Manual / Base Line / Leather 2022,"184,900 EGP","trending_up +3,100 EGP","188,000 EGP",12/2/2021
3087,Seat Tarraco A/T / FR 2022,"685,000 EGP","trending_up +10,000 EGP","695,000 EGP",12/1/2021
3088,Seat Tarraco A/T / XCELLENCE 2022,"660,000 EGP","trending_up +10,000 EGP","670,000 EGP",12/1/2021
3089,Seat Ateca A/T / FR 2022,"580,000 EGP","trending_up +10,000 EGP","590,000 EGP",12/1/2021
3090,Seat Ateca A/T / Style Plus 2022,"505,000 EGP","trending_up +10,000 EGP","515,000 EGP",12/1/2021
3091,Seat Ateca A/T / Experience 2022,"570,000 EGP","trending_up +10,000 EGP","580,000 EGP",12/1/2021
3092,Seat Ateca A/T / Style 2022,"455,000 EGP","trending_up +10,000 EGP","465,000 EGP",12/1/2021
3093,Hyundai Elantra CN7 A/T / PREMIUM / WHITE PACK 2022,"505,000 EGP","trending_up +3,000 EGP","508,000 EGP",12/1/2021
3094,Hyundai Elantra CN7 A/T / PREMIUM 2022,"500,000 EGP","trending_up +3,000 EGP","503,000 EGP",12/1/2021
3095,Hyundai Elantra CN7 A/T / ADVANCED / WHITE PACK 2022,"445,000 EGP","trending_up +3,000 EGP","448,000 EGP",12/1/2021
3096,Hyundai Elantra CN7 A/T / ADVANCED 2022,"440,000 EGP","trending_up +3,000 EGP","443,000 EGP",12/1/2021
3097,Hyundai Elantra CN7 A/T / MODERN 2022,"403,000 EGP","trending_up +3,000 EGP","406,000 EGP",12/1/2021
3098,Hyundai Elantra CN7 A/T / SMART PLUS 2022,"378,000 EGP","trending_up +3,000 EGP","381,000 EGP",12/1/2021
3099,Hyundai Elantra CN7 A/T / SMART SAFETY 2022,"340,000 EGP","trending_up +3,000 EGP","343,000 EGP",12/1/2021
3100,Hyundai Elantra CN7 A/T / SMART FUN 2022,"352,000 EGP","trending_up +3,000 EGP","355,000 EGP",12/1/2021
3101,Hyundai Elantra CN7 A/T / SMART 2022,"330,000 EGP","trending_up +3,000 EGP","333,000 EGP",12/1/2021
3102,Hyundai I20 A/T / Ultimate 2022,"315,000 EGP","trending_up +4,000 EGP","319,000 EGP",12/1/2021
3103,Hyundai I20 A/T / Elite 2022,"305,000 EGP","trending_up +4,000 EGP","309,000 EGP",12/1/2021
3104,Hyundai I20 A/T / Dynamic 2022,"295,000 EGP","trending_up  +4,000 EGP","299,000 EGP",12/1/2021
3105,Hyundai I20 A/T / SPIRIT 2022,"275,000 EGP","trending_up +4,000 EGP","279,000 EGP",12/1/2021
3106,Jac J7 A/T / Ultimate 2022,"332,900 EGP","trending_up +3,000 EGP","335,900 EGP",12/1/2021
3107,Jac J7 A/T / Deluxe 2022,"302,900 EGP","trending_up +2,000 EGP","304,900 EGP",12/1/2021
3108,Jac JS4 A/T / Utlimate 2022,"325,000 EGP","trending_up +2,000 EGP","327,000 EGP",12/1/2021
3109,Jac JS4 A/T / Deluxe 2022,"295,000 EGP","trending_up +2,000 EGP","297,000 EGP",12/1/2021
3110,Jac JS3 A/T / Smart 2022,"254,900 EGP","trending_up +2,000 EGP","256,900 EGP",12/1/2021
3111,Opel Corsa A/T / Elegance 2022,"330,000 EGP","trending_up  +10,000 EGP","340,000 EGP",11/27/2021
3112,Opel Grandland A/T / top line 2022,"550,000 EGP","trending_up +10,000 EGP","560,000 EGP",11/27/2021
3113,Opel Grandland A/T / high line 2022,"520,000 EGP","trending_up +10,000 EGP","530,000 EGP",11/27/2021
3114,Chevrolet Optra A/T / Luxury w Accessories 2022,"227,500 EGP","trending_up +3,500 EGP","231,000 EGP",11/25/2021
3115,Chevrolet Optra A/T / Luxury 2022,"220,900 EGP","trending_up +3,600 EGP","224,500 EGP",11/25/2021
3116,Chevrolet Optra A/T / Comfort w Accessories 2022,"211,500 EGP","trending_down -3,500 EGP","208,000 EGP",11/25/2021
3117,Chevrolet Optra A/T / Comfort 2022,"205,000 EGP","trending_down -3,500 EGP","201,500 EGP",11/25/2021
3118,Mitsubishi Xpander Automatic / Midline 2022,"330,000 EGP","trending_up +5,000 EGP","335,000 EGP",11/23/2021
3119,Mitsubishi Xpander Automatic / HL 2022,"355,000 EGP","trending_up +5,000 EGP","360,000 EGP",11/23/2021
3120,Mitsubishi Eclipse Cross A/T / Infinity GLS 2022,"550,000 EGP","trending_up +5,000 EGP","555,000 EGP",11/23/2021
3121,Mitsubishi Eclipse Cross A/T / Instyle GLS 2022,"500,000 EGP","trending_up +5,000 EGP","505,000 EGP",11/23/2021
3122,Mitsubishi Eclipse Cross A/T / Inspire GLS 2022,"460,000 EGP","trending_up +5,000 EGP","465,000 EGP",11/23/2021
3123,Mitsubishi Eclipse Cross A/T / Insport GLX 2022,"425,000 EGP","trending_up +5,000 EGP","430,000 EGP",11/23/2021
3124,Kia Sportage A/T / Topline Plus + Black Edition 2022,"549,900 EGP","trending_up +10,000 EGP","559,900 EGP",11/18/2021
3125,Kia Sportage A/T / Topline Plus 2022,"544,900 EGP","trending_up +10,000 EGP","554,900 EGP",11/18/2021
3126,Kia Sportage A/T / Highline Plus 2022,"504,900 EGP","trending_up +10,000 EGP","514,900 EGP",11/18/2021
3127,Kia Sportage A/T / LX FO Plus 2022,"469,900 EGP","trending_up +10,000 EGP","479,900 EGP",11/18/2021
3128,Kia Sportage A/T / LX CAM 2022,"424,900 EGP","trending_up +10,000 EGP","434,900 EGP",11/18/2021
3129,Kia Xceed A/T / Top Line 2022,"400,000 EGP","trending_up +9,000 EGP","409,000 EGP",11/18/2021
3130,Kia Xceed A/T / Highline 2022,"365,000 EGP","trending_up +10,000 EGP","375,000 EGP",11/18/2021
3131,Kia Grand Cerato A/T / Topline 2022,"414,900 EGP","trending_up +10,000 EGP","424,900 EGP",11/18/2021
3132,Kia Grand Cerato A/T / Highline 2022,"374,900 EGP","trending_up +10,000 EGP","384,900 EGP",11/18/2021
3133,Kia Grand Cerato A/T / EX Cam 2022,"359,900 EGP","trending_up +10,000 EGP","369,900 EGP",11/18/2021
