,symbol,name,price,pricing_changes,pricing_percentage_changes,sector,industry,market_cap,share_volume,earnings_per_share,annualized_dividend,dividend_pay_date,symbol_yield,beta,errors
6930,C^J,Citigroup Inc. Dep Shs Repstg 1/1000 Pfd Ser J Fixed/Fltg,26.73,+0.194,(+0.73%),N/A,N/A,"1,015,740,000","49,994",N/A,N/A,N/A,N/A,1,False
6931,C^K,Citigroup Inc. Dep Shs Repstg 1/1000th Pfd Ser K,25.99,+0.12,(+0.46%),N/A,N/A,"1,554,202,000","60,633",N/A,N/A,N/A,N/A,1,False
6932,C^N,Citigroup Capital XIII 7.875% Fixed rate Floating Rate trust Preferred Securities,26.83,+0.19,(+0.71%),N/A,N/A,"2,410,407,200","470,141",N/A,N/A,N/A,N/A,1,False
6933,CADE^A,Cadence Bank 5.50% Series A,25.13,Unchanged,,N/A,N/A,"173,397,000","5,523",N/A,N/A,N/A,N/A,,True
6934,CBRGU,Chain Bridge I Units,10.03,+0.01,(+0.1%),N/A,N/A,N/A,"1,900",N/A,N/A,N/A,N/A,0.02,False
6935,CBRGW,Chain Bridge I Warrants,0.25,-0.0299,(-10.68%),N/A,N/A,N/A,"1,050",N/A,N/A,N/A,N/A,-9.56,False
6936,CCAIU,Cascadia Acquisition Corp. Unit,9.92,Unchanged,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.11,False
6937,CCAIW,Cascadia Acquisition Corp. Warrant,0.41,Unchanged,,N/A,N/A,N/A,600,N/A,N/A,N/A,N/A,1.48,False
6938,CCNEP,"CNB Financial Corporation Depositary Shares, each representing a 1/40th ownership interest in a share of 7.125% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock",26.25,+0.26,(+1%),Finance,Major Banks,N/A,"6,650",N/A,$1.7813,"Mar 1, 2022",6.85%,0.09,False
6939,CCTSU,Cactus Acquisition Corp. 1 Limited Unit,10.14,Unchanged,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.06,False
6940,CCTSW,Cactus Acquisition Corp. 1 Limited Warrant,0.2353,-0.0147,(-5.88%),N/A,N/A,N/A,"357,674",N/A,N/A,N/A,N/A,,True
6941,CCZ,Comcast Holdings ZONES,61.65,-0.11,(-0.18%),Consumer Services,Television Services,N/A,"1,041",N/A,N/A,N/A,N/A,-0.42,False
6942,CDAQU,Compass Digital Acquisition Corp. Unit,9.81,-0.01,(-0.1%),N/A,N/A,N/A,883,N/A,N/A,N/A,N/A,0.04,False
6943,CDR^B,"Cedar Realty Trust, Inc. 7.25% Series B Cumulative Redeemable Preferred Stock",10.97,-0.52,(-4.53%),N/A,N/A,"37,846,500","20,768",N/A,N/A,N/A,N/A,1,False
6944,CDR^C,"Cedar Realty Trust, Inc. 6.50% Series C Cumulative Redeemable Preferred Stock",9.62,+0.22,(+2.34%),N/A,N/A,"48,100,000","28,626",N/A,N/A,N/A,N/A,1,False
6945,CDROW,"Codere Online Luxembourg, S.A. Warrants",0.4202,-0.0034,(-0.8%),Finance,Business Services,N/A,"8,135",N/A,N/A,N/A,N/A,7.61,False
6946,CDZIP,"Cadiz, Inc. Depositary Shares",12.5133,-0.1867,(-1.47%),Public Utilities,Water Supply,N/A,"2,042",N/A,$2.24,"Jan 18, 2022",17.64%,0.14,False
6947,CEADW,CEA Industries Inc. Warrant,0.485,-0.0249,(-4.88%),Capital Goods,Industrial Machinery/Components,N/A,"19,472",N/A,N/A,N/A,N/A,,True
6948,CELUW,Celularity Inc. Warrant,0.9301,+0.01,(+1.09%),Health Care,Biotechnology: Pharmaceutical Preparations,N/A,"4,000",N/A,N/A,N/A,N/A,1.53,False
6949,CENQU,CENAQ Energy Corp. Unit,10.1283,Unchanged,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.08,False
6950,CENQW,CENAQ Energy Corp. Warrant,0.18,-0.01,(-5.26%),N/A,N/A,N/A,"10,700",N/A,N/A,N/A,N/A,1.46,False
6951,CEQP^,Crestwood Equity Partners LP Preferred Units representing limited partner interests,9.68,+0.03,(+0.31%),N/A,N/A,N/A,"152,610",N/A,N/A,N/A,N/A,1,False
6952,CETXP,Cemtrex Inc. Series 1 Preferred Stock,1.6337,+0.1337,(+8.91%),Technology,EDP Services,N/A,"2,222",N/A,N/A,"Mar 31, 2017",N/A,0.84,False
6953,CFFEU,CF Acquisition Corp. VIII Unit,10.13,Unchanged,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.07,False
6954,CFFEW,CF Acquisition Corp. VIII Warrant,0.3111,+0.0684,(+28.18%),N/A,N/A,N/A,"3,024",N/A,N/A,N/A,N/A,-0.46,False
6955,CFFSU,CF Acquisition Corp. VII Unit,10.0,-0.01,(-0.1%),N/A,N/A,N/A,"2,586",N/A,N/A,N/A,N/A,0.83,False
6956,CFFSW,CF Acquisition Corp. VII Warrant,0.4732,-0.0699,(-12.87%),N/A,N/A,N/A,301,N/A,N/A,N/A,N/A,,True
6957,CFG^D,"Citizens Financial Group, Inc. Depositary Shares, each representing a 1/40th Interest in a Share of 6.350% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series D",25.94,-0.03,(-0.12%),N/A,N/A,"311,280,000","134,857",N/A,N/A,N/A,N/A,1,False
6958,CFG^E,"Citizens Financial Group, Inc. Depositary Shares Each Representing 1/40th Interest in a Share of 5.000% Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series E",23.46,+0.40,(+1.73%),N/A,N/A,"422,280,000","43,011",N/A,N/A,N/A,N/A,1,False
6959,CFIVU,CF Acquisition Corp. IV Unit,9.875,Unchanged,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.07,False
6960,CFIVW,CF Acquisition Corp. IV Warrant,0.3797,+0.0797,(+26.57%),N/A,N/A,N/A,"22,384",N/A,N/A,N/A,N/A,0.35,False
6961,CFR^B,"Cullen/Frost Bankers, Inc. Depositary Shares, each representing a 1/40th ownership interest in a share of 4.450% non-cumulative perpetual preferred stock, Series B",21.76,+0.12,(+0.55%),N/A,N/A,"130,560,000","6,938",N/A,N/A,N/A,N/A,,True
6962,CFVIU,CF Acquisition Corp. VI Unit,12.18,+0.09,(+0.74%),N/A,N/A,N/A,817,N/A,N/A,N/A,N/A,-0.28,False
6963,CFVIW,CF Acquisition Corp. VI Warrant,3.16,-0.0201,(-0.63%),N/A,N/A,N/A,"46,740",N/A,N/A,N/A,N/A,3.54,False
6964,CGABL,The Carlyle Group Inc. 4.625% Subordinated Notes due 2061,20.54,+0.34,(+1.68%),N/A,N/A,N/A,"104,951",N/A,$1.1563,"Feb 15, 2022",5.72%,0.64,False
6965,CHEKZ,Check-Cap Ltd. Series C Warrant,0.1102,Unchanged,,Health Care,Medical Electronics,N/A,890,N/A,N/A,N/A,N/A,0.54,False
6966,CHKEL,Chesapeake Energy Corporation Class C Warrants,44.83,+1.30,(+2.99%),Energy,Oil & Gas Production,N/A,"94,174",N/A,N/A,N/A,N/A,-0.8,False
6967,CHKEW,Chesapeake Energy Corporation Class A Warrants,53.79,+1.12,(+2.13%),Energy,Oil & Gas Production,N/A,"1,976",N/A,N/A,N/A,N/A,-0.68,False
6968,CHKEZ,Chesapeake Energy Corporation Class B Warrants,49.35,+1.158,(+2.4%),Energy,Oil & Gas Production,N/A,862,N/A,N/A,N/A,N/A,-1.25,False
6969,CHMI^A,Cherry Hill Mortgage Investment Corporation 8.20% Series A Cumulative Redeemable Preferred Stock,25.06,+0.28,(+1.13%),N/A,N/A,N/A,"9,269",N/A,N/A,N/A,N/A,1,False
6970,CHMI^B,Cherry Hill Mortgage Investment Corporation 8.250% Series B Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,24.38,+0.15,(+0.62%),N/A,N/A,N/A,"6,643",N/A,N/A,N/A,N/A,1,False
6971,CHNGU,Change Healthcare Inc. Tangible Equity Units,69.751,Unchanged,,Health Care,Managed Health Care,N/A,N/A,N/A,$3.00,"Mar 30, 2022",4.3%,1.04,False
6972,CHPMU,CHP Merger Corp. Unit,10.23,Unchanged,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.11,False
6973,CHPMW,CHP Merger Corp. Warrant,0.144,-0.0039,(-2.64%),Finance,Business Services,N/A,"29,850",N/A,N/A,N/A,N/A,0.98,False
6974,CHRB,"Charah Solutions, Inc. 8.50% Senior Notes due 2026",23.37,-0.03,(-0.13%),N/A,N/A,N/A,"3,892",N/A,N/A,N/A,N/A,0.24,False
6975,CHSCL,"CHS Inc Class B Cumulative Redeemable Preferred Stock, Series 4",27.33,+0.1688,(+0.62%),Consumer Non-Durables,Tobacco,N/A,"19,289",N/A,$1.875,"Mar 31, 2022",6.79%,0.3,False
6976,CHSCM,"CHS Inc Class B Reset Rate Cumulative Redeemable Preferred Stock, Series 3",26.02,+0.1019,(+0.39%),Consumer Non-Durables,Tobacco,N/A,"28,339",N/A,$1.6875,"Mar 31, 2022",6.41%,0.47,False
6977,CHSCN,CHS Inc Preferred Class B Series 2 Reset Rate,26.08,+0.3638,(+1.41%),Consumer Non-Durables,Tobacco,N/A,"33,956",N/A,$1.775,"Mar 31, 2022",6.79%,0.4,False
6978,CHSCO,CHS Inc. Class B Cumulative Redeemable Preferred Stock,26.74,-0.0778,(-0.29%),Consumer Non-Durables,Tobacco,N/A,"72,443",N/A,$1.9688,"Mar 31, 2022",7.21%,0.32,False
6979,CHSCP,CHS Inc. 8% Cumulative Redeemable Preferred Stock,32.11,+0.385,(+1.21%),Consumer Non-Durables,Tobacco,N/A,"17,764",N/A,$2.00,"Mar 31, 2022",6.21%,0.31,False
6980,CHWAU,CHW Acquisition Corporation Unit,10.1066,Unchanged,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.2,False
6981,CIFRW,Cipher Mining Inc. Warrant,0.495,+0.015,(+3.13%),Finance,Investment Bankers/Brokers/Service,N/A,"9,084",N/A,N/A,N/A,N/A,0.39,False
6982,CIIGU,"CIIG Capital Partners II, Inc. Unit",10.01,Unchanged,,N/A,N/A,N/A,204,N/A,N/A,N/A,N/A,0.17,False
6983,CIIGW,"CIIG Capital Partners II, Inc. Warrant",0.35,-0.0001,(-0.03%),N/A,N/A,N/A,"2,637",N/A,N/A,N/A,N/A,2.86,False
6984,CIM^A,Chimera Investment Corporation 8.00% Series A Cumulative Redeemable Preferred Stock,25.25,+0.28,(+1.12%),N/A,N/A,"146,450,000","22,263",N/A,N/A,N/A,N/A,1,False
6985,CIM^B,Chimera Investment Corporation 8.00% Series B Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,24.46,+0.38,(+1.58%),N/A,N/A,"317,980,000","42,397",N/A,N/A,N/A,N/A,1,False
6986,CIM^C,Chimera Investment Corporation 7.75% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,23.25,-0.0361,(-0.16%),N/A,N/A,"241,800,000","22,008",N/A,N/A,N/A,N/A,1,False
6987,CIM^D,Chimera Investment Corporation 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,24.36,+0.47,(+1.97%),N/A,N/A,"194,880,000","52,951",N/A,N/A,N/A,N/A,1,False
6988,CINGW,Cingulate Inc. Warrants,0.227,-0.033,(-12.69%),Health Care,Biotechnology: Pharmaceutical Preparations,N/A,"89,740",N/A,N/A,N/A,N/A,16.84,False
6989,CIO^A,"City Office REIT, Inc. 6.625% Series A Cumulative Redeemable Preferred Stock",25.1,+0.35,(+1.41%),N/A,N/A,"112,448,000","1,533",N/A,N/A,N/A,N/A,1,False
6990,CITEW,Cartica Acquisition Corp Warrant,0.2102,Unchanged,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,True
6991,CLAQR,CleanTech Acquisition Corp. Rights,0.2801,Unchanged,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.08,False
6992,CLAQU,CleanTech Acquisition Corp. Units,10.4,Unchanged,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.09,False
6993,CLAQW,CleanTech Acquisition Corp. Warrant,0.3672,+0.0172,(+4.91%),N/A,N/A,N/A,"3,682",N/A,N/A,N/A,N/A,2.52,False
6994,CLAYW,Chavant Capital Acquisition Corp. Warrants,0.22,Unchanged,,N/A,N/A,N/A,600,N/A,N/A,N/A,N/A,1.4,False
6995,CLBTW,Cellebrite DI Ltd. Warrants,1.17,+0.12,(+11.43%),N/A,N/A,N/A,"54,441",N/A,N/A,N/A,N/A,2.89,False
6996,CLDT^A,Chatham Lodging Trust,24.49,+0.53,(+2.21%),N/A,N/A,N/A,"2,906",N/A,N/A,N/A,N/A,,True
6997,CLINU,Clean Earth Acquisitions Corp. Unit,9.9875,-0.0069,(-0.07%),N/A,N/A,N/A,101,N/A,N/A,N/A,N/A,,True
6998,CLNNW,Clene Inc. Warrant,0.32,+0.0065,(+2.07%),Consumer Durables,Specialty Chemicals,N/A,"2,966",N/A,N/A,N/A,N/A,-0.5,False
6999,CLOER,Clover Leaf Capital Corp. Rights,0.308,Unchanged,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.61,False
7000,CLRMU,Clarim Acquisition Corp. Unit,9.86,+0.04,(+0.41%),N/A,N/A,N/A,241,N/A,N/A,N/A,N/A,0.07,False
7001,CLRMW,Clarim Acquisition Corp. Warrant,0.245,-0.0151,(-5.81%),N/A,N/A,N/A,"161,470",N/A,N/A,N/A,N/A,1.38,False
7002,CLVRW,Clever Leaves Holdings Inc. Warrant,0.165,-0.0101,(-5.77%),N/A,N/A,N/A,"191,360",N/A,N/A,N/A,N/A,1.11,False
7003,CLVT^A,Clarivate Plc 5.25% Series A Mandatory Convertible Preferred Shares,61.6,+1.4101,(+2.34%),N/A,N/A,N/A,"114,833",N/A,N/A,N/A,N/A,,True
7004,CMAXW,"CareMax, Inc. Warrant",1.81,+0.02,(+1.12%),Technology,Computer Software: Prepackaged Software,N/A,"1,977",N/A,N/A,N/A,N/A,-1.73,False
7005,CMCAW,Capitalworks Emerging Markets Acquisition Corp Warrant,0.25,-0.0301,(-10.75%),N/A,N/A,N/A,"5,010",N/A,N/A,N/A,N/A,,True
7006,CMPOW,"CompoSecure, Inc. Warrant",1.62,+0.01,(+0.62%),Capital Goods,Metal Fabrications,N/A,"182,543",N/A,N/A,N/A,N/A,2.72,False
7007,CMRE^B,Costamare Inc. Perpetual Preferred Stock Series B,25.46,Unchanged,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,False
7008,CMRE^C,Costamare Inc. Perpetual Preferred Series C,25.728,+0.338,(+1.33%),N/A,N/A,"102,912,000","7,023",N/A,N/A,N/A,N/A,1,False
7009,CMRE^D,Costamare Inc. 8.75% Series D Cumulative Redeemable Perpetual Preferred Stock,25.6,+0.12,(+0.47%),N/A,N/A,"102,400,000","26,837",N/A,N/A,N/A,N/A,1,False
7010,CMRE^E,"Costamare Inc. 8.875% Series E Cumulative Redeemable Perpetual Preferred Stock, par value $0.0001",26.0,+0.17,(+0.66%),N/A,N/A,"118,924,000","2,732",N/A,N/A,N/A,N/A,1,False
7011,CMS^B,CMS Energy Corporation Preferred Stock,106.5,-0.98,(-0.91%),N/A,N/A,"39,724,500",90,N/A,N/A,N/A,N/A,1,False
7012,CMS^C,"CMS Energy Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 4.200% Cumulative Redeemable Perpetual Preferred Stock, Series C",20.18,+0.08,(+0.4%),N/A,N/A,N/A,"23,738",N/A,N/A,N/A,N/A,,True
7013,CMSA,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078,25.16,+0.26,(+1.04%),Public Utilities,Power Generation,N/A,"15,135",N/A,N/A,N/A,N/A,0.32,False
7014,CMSC,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078,25.58,+0.14,(+0.55%),Public Utilities,Power Generation,N/A,"14,797",N/A,N/A,N/A,N/A,0.28,False
7015,CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,25.3,+0.26,(+1.04%),Public Utilities,Power Generation,N/A,"29,538",N/A,N/A,N/A,N/A,0.32,False
7016,CNFRL,"Conifer Holdings, Inc. 6.75% Senior Unsecured Notes due 2023",24.05,+0.44,(+1.86%),Finance,Property-Casualty Insurers,N/A,950,N/A,$1.6875,"Mar 31, 2022",7.15%,0.62,False
7017,CNGLU,Canna-Global Acquisition Corp Unit,10.07,Unchanged,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.07,False
7018,CNGLW,Canna-Global Acquisition Corp Warrant,0.13,-0.0099,(-7.08%),N/A,N/A,N/A,"780,325",N/A,N/A,N/A,N/A,,True
7019,CNO^A,"CNO Financial Group, Inc. 5.125% Subordinated Debentures due 2060",22.44,+0.10,(+0.45%),N/A,N/A,N/A,"12,072",N/A,N/A,N/A,N/A,,True
7020,CNOBP,"ConnectOne Bancorp, Inc. Depositary Shares, each representing a 1/40th interest in a share of 5.25% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A",24.0,+0.25,(+1.05%),Finance,Major Banks,N/A,"34,066",N/A,$1.4875,"Dec 1, 2021",6.26%,0.25,False
7021,CNTQU,Chardan NexTech Acquisition 2 Corp. Unit,10.15,Unchanged,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35,False
7022,CNTQW,Chardan NexTech Acquisition 2 Corp. Warrant,0.275,+0.0084,(+3.15%),N/A,N/A,N/A,200,N/A,N/A,N/A,N/A,3.52,False
7023,CODI^A,Compass Diversified Holdings 7.250% Series A Preferred Shares representing beneficial interest in Compass Diversified Holdings,24.24,+0.1299,(+0.54%),N/A,N/A,"96,960,000","6,993",N/A,N/A,N/A,N/A,1,False
7024,CODI^B,Compass Diversified Holdings 7.875% Series B Fixed-to-Floating Rate Cumulative Preferred Shares representing beneficial interests in Compass Diversified Holdings,25.85,+0.10,(+0.39%),N/A,N/A,"103,400,000","11,317",N/A,N/A,N/A,N/A,1,False
7025,CODI^C,Compass Diversified Holdings 7.875% Series C Cumulative Preferred Shares,25.5,+0.10,(+0.39%),N/A,N/A,"117,300,000","16,102",N/A,N/A,N/A,N/A,1,False
7026,COF^I,"Capital One Financial Corporation Depositary shares each representing a 1/40th interest in a share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series I of the Issuer",22.42,+0.0988,(+0.44%),N/A,N/A,"1,345,200,000","190,536",N/A,N/A,N/A,N/A,1,False
7027,COF^J,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Interest in a Share of Fixed Rate Non- Cumulative Perpetual Preferred Stock, Series J",21.5,+0.03,(+0.14%),N/A,N/A,"1,075,000,000","272,736",N/A,N/A,N/A,N/A,,True
7028,COF^K,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series K",21.14,+0.03,(+0.14%),N/A,N/A,"105,700,000","23,933",N/A,N/A,N/A,N/A,,True
7029,COF^L,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series L",19.79,+0.18,(+0.92%),N/A,N/A,N/A,"67,861",N/A,N/A,N/A,N/A,,True
7030,COF^N,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series N",19.65,+0.09,(+0.46%),N/A,N/A,N/A,"68,709",N/A,N/A,N/A,N/A,,True
7031,COLIU,Colicity Inc. Units,9.82,+0.02,(+0.2%),N/A,N/A,N/A,"12,988",N/A,N/A,N/A,N/A,-0.06,False
7032,COLIW,Colicity Inc. Warrant,0.4097,+0.0297,(+7.82%),N/A,N/A,N/A,"34,191",N/A,N/A,N/A,N/A,-0.67,False
7033,COMSP,ComSovereign Holding Corp. 9.25% Series A Cumulative Redeemable Perpetual Preferred Stock,15.0,Unchanged,,Consumer Services,Telecommunications Equipment,N/A,401,N/A,$2.3124,"Mar 20, 2022",15.42%,-2.24,False
7034,COMSW,ComSovereign Holding Corp. Warrants,0.2799,+0.0199,(+7.65%),Consumer Services,Telecommunications Equipment,N/A,"2,300",N/A,N/A,N/A,N/A,0.07,False
7035,CONXU,CONX Corp. Unit,9.92,-0.0301,(-0.3%),N/A,N/A,N/A,186,N/A,N/A,N/A,N/A,0.04,False
7036,CONXW,CONX Corp. Warrant,0.3965,Unchanged,,N/A,N/A,N/A,"6,194",N/A,N/A,N/A,N/A,-0.16,False
7037,COOLU,Corner Growth Acquisition Corp. Unit,9.875,Unchanged,,Finance,Business Services,N/A,N/A,N/A,N/A,N/A,N/A,-0.07,False
7038,COOLW,Corner Growth Acquisition Corp. Warrant,0.26,+0.005,(+1.96%),Finance,Business Services,N/A,"20,136",N/A,N/A,N/A,N/A,1.59,False
7039,CORR^A,"CorEnergy Infrastructure Trust, Inc. Depositary Shares, each representing a 1/100th fractional interest of a share of 7.375% Series A Cumulative Redeemable Preferred Stock",19.175,+0.425,(+2.27%),N/A,N/A,"99,345,675","6,547",N/A,N/A,N/A,N/A,1,False
7040,CORZW,"Core Scientific, Inc. Warrant",1.88,+0.06,(+3.3%),Technology,EDP Services,N/A,"65,841",N/A,N/A,N/A,N/A,2.77,False
7041,COVAU,COVA Acquisition Corp. Unit,9.8,-0.02,(-0.2%),Finance,Business Services,N/A,"1,075",N/A,N/A,N/A,N/A,-0.01,False
7042,COVAW,COVA Acquisition Corp. Warrants to purchase Class A ordinary shares,0.18,+0.03,(+20%),Finance,Business Services,N/A,"1,307",N/A,N/A,N/A,N/A,1.41,False
7044,CPARU,Catalyst Partners Acquisition Corp. Unit,9.8192,Unchanged,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.08,False
7045,CPARW,Catalyst Partners Acquisition Corp. Warrant,0.4395,-0.0505,(-10.31%),N/A,N/A,N/A,"4,894",N/A,N/A,N/A,N/A,1.14,False
7046,CPTAG,Capitala Finance Corp. 5.75% Convertible Notes Due 2022,25.12,+0.03,(+0.12%),Finance,"Trusts, Except Educational, Religious, and Charitable",N/A,741,"Nov 12, 2021","Nov 30, 2021",0.64,"Feb 14, 2022",$0.36,False
7047,CPTAL,Capitala Finance Corp. 6% Notes Due 2022,25.05,-0.02,(-0.08%),Finance,"Trusts, Except Educational, Religious, and Charitable",N/A,"2,381",N/A,$1.50,"Feb 28, 2022",5.98%,0.41,False
7048,CPTNW,"Cepton, Inc. Warrant",0.4103,+0.0102,(+2.55%),Technology,Computer Software: Prepackaged Software,N/A,"25,436",N/A,N/A,N/A,N/A,-0.32,False
7049,CRD/A,Crawford & Company,7.07,-0.01,(-0.14%),N/A,N/A,N/A,"36,025",N/A,N/A,N/A,N/A,,True
7050,CRD/B,Crawford & Company,6.92,+0.20,(+2.98%),N/A,N/A,N/A,"5,672",N/A,N/A,N/A,N/A,,True
7051,CRECU,Crescera Capital Acquisition Corp Unit,10.04,Unchanged,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.02,False
7052,CRECW,Crescera Capital Acquisition Corp Warrant,0.42,Unchanged,,N/A,N/A,N/A,800,N/A,N/A,N/A,N/A,,True
7053,CRESW,Cresud S.A.C.I.F. y A. Warrant,0.3426,-0.0373,(-9.82%),Finance,Real Estate,N/A,"4,000",N/A,N/A,N/A,N/A,-0.56,False
7054,CREXW,"Creative Realities, Inc. Warrant",0.09,Unchanged,,Technology,EDP Services,N/A,N/A,N/A,N/A,N/A,N/A,6.89,False
7055,CRTDW,Creatd Inc. Warrant,0.2651,+0.0151,(+6.04%),Consumer Services,Publishing,N/A,"1,200",N/A,N/A,N/A,N/A,3.96,False
7056,CRXTW,"Clarus Therapeutics Holdings, Inc. Warrants",0.12,Unchanged,,Health Care,Biotechnology: Pharmaceutical Preparations,N/A,"18,084",N/A,N/A,N/A,N/A,-0.33,False
7057,CRZNW,Corazon Capital V838 Monoceros Corp Warrant,0.38,Unchanged,,Finance,Business Services,N/A,N/A,N/A,N/A,N/A,N/A,1.82,False
7058,CSLM,"Consilium Acquisition Corp I, Ltd. Class A Ordinary Share",9.745,Unchanged,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,True
7059,CSLMR,"Consilium Acquisition Corp I, Ltd. Right",0.1501,Unchanged,,N/A,N/A,N/A,100,N/A,N/A,N/A,N/A,,True
7060,CSLMU,"Consilium Acquisition Corp I, Ltd. Unit",9.99,-0.01,(-0.1%),N/A,N/A,N/A,"8,308",N/A,N/A,N/A,N/A,,True
7061,CSLMW,"Consilium Acquisition Corp I, Ltd. Warrant",0.1306,-0.0194,(-12.93%),N/A,N/A,N/A,"2,000",N/A,N/A,N/A,N/A,,True
7062,CSR^C,D/B/A Centerspace 6.625% Series C,25.43,-0.36,(-1.4%),N/A,N/A,N/A,700,N/A,N/A,N/A,N/A,,True
7063,CSSEN,"Chicken Soup for the Soul Entertainment, Inc. 9.50% Notes due 2025",25.2576,-0.1964,(-0.77%),Consumer Services,Movies/Entertainment,N/A,552,N/A,$2.375,"Mar 31, 2022",9.33%,0.01,False
7064,CSSEP,"Chicken Soup for the Soul Entertainment, Inc. 9.75% Series A Cumulative Redeemable Perpetual Preferred Stock",24.85,Unchanged,,Consumer Services,Movies/Entertainment,N/A,"6,591",N/A,$2.4372,"Mar 15, 2022",9.81%,0.52,False
7065,CTA^A,E.I. du Pont de Nemours and Company Preferred Stock,81.0,Unchanged,,N/A,N/A,"56,700,000",N/A,N/A,N/A,N/A,N/A,1,False
7066,CTA^B,E.I. du Pont de Nemours and Company Preferred Stock,94.5,+0.38,(+0.4%),N/A,N/A,"158,098,500",490,N/A,N/A,N/A,N/A,1,False
7067,CTAQU,Carney Technology Acquisition Corp. II Units,9.9,+0.01,(+0.1%),N/A,N/A,N/A,700,N/A,N/A,N/A,N/A,-0.1,False
7068,CTAQW,Carney Technology Acquisition Corp. II Warrant,0.29,-0.07,(-19.44%),N/A,N/A,N/A,"63,158",N/A,N/A,N/A,N/A,0.81,False
7069,CTBB,Qwest Corporation 6.5% Notes due 2056,24.59,+0.18,(+0.74%),N/A,N/A,N/A,"48,157",N/A,N/A,N/A,N/A,0.52,False
7070,CTDD,Qwest Corporation 6.75% Notes due 2057,24.82,+0.29,(+1.18%),N/A,N/A,N/A,"35,925",N/A,N/A,N/A,N/A,0.6,False
7071,CTO^A,"CTO Realty Growth, Inc. 6.375% Series A Cumulative Redeemable Preferred Stock",25.0,Unchanged,,N/A,N/A,N/A,"1,612",N/A,N/A,N/A,N/A,,True
7072,CTXRW,"Citius Pharmaceuticals, Inc. Warrant",0.35,-0.05,(-12.5%),Health Care,Biotechnology: Pharmaceutical Preparations,N/A,"1,113",N/A,N/A,N/A,N/A,3.77,False
7073,CUBB,"Customers Bancorp, Inc 5.375% Subordinated Notes Due 2034",25.4777,+0.314,(+1.25%),Finance,Major Banks,N/A,"4,274",N/A,N/A,N/A,N/A,0.66,False
7074,CUBI^E,"Customers Bancorp, Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series E",24.645,+0.045,(+0.18%),N/A,N/A,N/A,"1,447",N/A,N/A,N/A,N/A,1,False
7075,CUBI^F,"Customers Bancorp, Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series F",24.48,+0.0101,(+0.04%),N/A,N/A,N/A,"9,523",N/A,N/A,N/A,N/A,1,False
7076,CUENW,"Cuentas, Inc. Warrant",0.4,-0.0073,(-1.79%),Technology,Computer Software: Prepackaged Software,N/A,"6,654",N/A,N/A,N/A,N/A,-0.46,False
7077,CURIW,CuriosityStream Inc. Warrant,0.54,Unchanged,,Consumer Services,Broadcasting,N/A,N/A,N/A,N/A,N/A,N/A,0.96,False
